,time,lon,lat,elev,atemp,hr,cad,c_delta_elev,c_delta_time,c_delta_sph2d,c_delta_sph3d,c_dist_sph2d,c_dist_sph3d,c_delta_geo2d,c_delta_geo3d,c_dist_geo2d,c_dist_geo3d,c_speed,c_speed_filtered
1891,2022-11-01 09:35:27+00:00,10.410046,44.148842,527.6,20.0,71.0,0.0,0.0,1.0,1.2443312016219155,1.2443312016219155,30352.5846991774,30405.770675468313,1.244307073964944,1.244307073964944,30379.778029262136,30432.915126671844,1.244307073964944,0.9867971319728271
1892,2022-11-01 09:35:30+00:00,10.410038,44.148852,527.6,20.0,72.0,0.0,0.0,3.0,1.282126121879807,1.282126121879807,30353.866825299283,30407.052801590195,1.2823076719973563,1.2823076719973563,30381.060336934133,30434.19743434384,0.4274358906657854,0.988134704398399
1893,2022-11-01 09:35:31+00:00,10.41003,44.148862,527.6,20.0,73.0,0.0,0.0,1.0,1.282126068656841,1.282126068656841,30355.14895136794,30408.334927658852,1.282307618317712,1.282307618317712,30382.342644552453,30435.47974196216,1.282307618317712,1.1170906481953902
1894,2022-11-01 09:35:32+00:00,10.410023,44.148871,527.6,20.0,74.0,0.0,0.0,1.0,1.1460528972854656,1.1460528972854656,30356.295004265226,30409.480980556138,1.146174004050432,1.146174004050432,30383.488818556503,30436.62591596621,1.146174004050432,1.0548752782968243
1895,2022-11-01 09:35:34+00:00,10.410015,44.148881,527.8,20.0,73.0,0.0,0.1999999999999318,2.0,1.2821259664308253,1.2976313011777076,30357.577130231657,30410.778611857317,1.282307520426384,1.2978106860948688,30384.77112607693,30437.923726652305,0.6489053430474344,1.787451330742115
1896,2022-11-01 09:35:36+00:00,10.410008,44.148891,527.8,20.0,72.0,0.0,0.0,2.0,1.2443309932575726,1.2443309932575726,30358.821461224914,30412.022942850574,1.244306873598786,1.244306873598786,30386.015432950528,30439.168033525904,0.622153436799393,2.6971211061289386
1897,2022-11-01 09:35:37+00:00,10.41,44.148901,527.8,20.0,71.0,0.0,0.0,1.0,1.2821258590015459,1.2821258590015459,30360.103587083915,30413.305068709575,1.282307415541169,1.282307415541169,30387.29774036607,30440.450340941446,1.282307415541169,2.707125063419901
1898,2022-11-01 09:35:38+00:00,10.409992,44.148911,527.8,20.0,72.0,0.0,0.0,1.0,1.2821258041817953,1.2821258041817953,30361.385712888095,30414.587194513755,1.2823073629236266,1.2823073629236266,30388.580047728992,30441.73264830437,1.2823073629236266,2.7004306567171565
1899,2022-11-01 09:35:40+00:00,10.409985,44.148921,527.8,20.0,73.0,0.0,0.0,2.0,1.2443308667942812,1.2443308667942812,30362.63004375489,30415.83152538055,1.2443067517284523,1.2443067517284523,30389.82435448072,30442.976955056096,0.6221533758642261,2.818238014919449
1900,2022-11-01 09:35:41+00:00,10.409977,44.148931,527.8,20.0,74.0,0.0,0.0,1.0,1.282125696941998,1.282125696941998,30363.912169451833,30417.113651077492,1.2823072580393415,1.2823072580393415,30391.10666173876,30444.259262314135,1.2823072580393415,2.9624215198853387
